Date,Ticker,Cumulative_Return,Sector,Company Name,Benchmark (KLCI),ESG Group (F4GBM),Volatility_Risk
2021-01-04,0097.KL,0.0,,ViTrox,No,Yes,0.4320545161161123
2021-01-05,0097.KL,0.0041379211715959485,,ViTrox,No,Yes,0.4320545161161123
2021-01-06,0097.KL,-0.006896579837974204,,ViTrox,No,Yes,0.4320545161161123
2021-01-07,0097.KL,-0.027586118867982234,,ViTrox,No,Yes,0.4320545161161123
2021-01-08,0097.KL,-0.05103445022031172,,ViTrox,No,Yes,0.4320545161161123
2021-01-11,0097.KL,-0.03862068670552399,,ViTrox,No,Yes,0.4320545161161123
2021-01-12,0097.KL,-0.006896579837974204,,ViTrox,No,Yes,0.4320545161161123
2021-01-13,0097.KL,0.0303448443623322,,ViTrox,No,Yes,0.4320545161161123
2021-01-14,0097.KL,0.041379412199873844,,ViTrox,No,Yes,0.4320545161161123
2021-01-15,0097.KL,0.042758674705091426,,ViTrox,No,Yes,0.4320545161161123
2021-01-18,0097.KL,0.062068951229881764,,ViTrox,No,Yes,0.4320545161161123
2021-01-19,0097.KL,0.062068951229881764,,ViTrox,No,Yes,0.4320545161161123
2021-01-20,0097.KL,0.0910345330869966,,ViTrox,No,Yes,0.4320545161161123
2021-01-21,0097.KL,0.09655171676381014,,ViTrox,No,Yes,0.4320545161161123
2021-01-22,0097.KL,0.1586207348216635,,ViTrox,No,Yes,0.4320545161161123
2021-01-25,0097.KL,0.13103441546976646,,ViTrox,No,Yes,0.4320545161161123
2021-01-26,0097.KL,0.13379334144803123,,ViTrox,No,Yes,0.4320545161161123
2021-01-27,0097.KL,0.13379334144803123,,ViTrox,No,Yes,0.4320545161161123
2021-01-29,0097.KL,0.1448275751457151,,ViTrox,No,Yes,0.4320545161161123
2021-02-02,0097.KL,0.15724153914441752,,ViTrox,No,Yes,0.4320545161161123
2021-02-03,0097.KL,0.19999994653762276,,ViTrox,No,Yes,0.4320545161161123
2021-02-04,0097.KL,0.19862088451631976,,ViTrox,No,Yes,0.4320545161161123
2021-02-05,0097.KL,0.2041380681931333,,ViTrox,No,Yes,0.4320545161161123
2021-02-08,0097.KL,0.19310356718356325,,ViTrox,No,Yes,0.4320545161161123
2021-02-09,0097.KL,0.18482785849631456,,ViTrox,No,Yes,0.4320545161161123
2021-02-10,0097.KL,0.17241389449761213,,ViTrox,No,Yes,0.4320545161161123
2021-02-11,0097.KL,0.19172437150631727,,ViTrox,No,Yes,0.4320545161161123
2021-02-15,0097.KL,0.23034505821184115,,ViTrox,No,Yes,0.4320545161161123
2021-02-16,0097.KL,0.22896572887865196,,ViTrox,No,Yes,0.4320545161161123
2021-02-17,0097.KL,0.2193104235463279,,ViTrox,No,Yes,0.4320545161161123
2021-02-18,0097.KL,0.18620718782950374,,ViTrox,No,Yes,0.4320545161161123
2021-02-19,0097.KL,0.2275862658895198,,ViTrox,No,Yes,0.4320545161161123
2021-02-22,0097.KL,0.17241389449761213,,ViTrox,No,Yes,0.4320545161161123
2021-02-23,0097.KL,0.1737932238308011,,ViTrox,No,Yes,0.4320545161161123
2021-02-24,0097.KL,0.18620718782950374,,ViTrox,No,Yes,0.4320545161161123
2021-02-25,0097.KL,0.2041380681931333,,ViTrox,No,Yes,0.4320545161161123
2021-02-26,0097.KL,0.18620718782950374,,ViTrox,No,Yes,0.4320545161161123
2021-03-01,0097.KL,0.11862051829903564,,ViTrox,No,Yes,0.4320545161161123
2021-03-02,0097.KL,0.1448275751457151,,ViTrox,No,Yes,0.4320545161161123
2021-03-03,0097.KL,0.1517240881557178,,ViTrox,No,Yes,0.4320545161161123
2021-03-04,0097.KL,0.12275870678251777,,ViTrox,No,Yes,0.4320545161161123
2021-03-05,0097.KL,0.0910345330869966,,ViTrox,No,Yes,0.4320545161161123
2021-03-08,0097.KL,0.006896713493917295,,ViTrox,No,Yes,0.4320545161161123
2021-03-09,0097.KL,0.0,,ViTrox,No,Yes,0.4320545161161123
2021-03-10,0097.KL,-0.026206789534793162,,ViTrox,No,Yes,0.4320545161161123
2021-03-11,0097.KL,0.02482766068551867,,ViTrox,No,Yes,0.4320545161161123
2021-03-12,0097.KL,0.013793092847977029,,ViTrox,No,Yes,0.4320545161161123
2021-03-15,0097.KL,-0.0041379879995674385,,ViTrox,No,Yes,0.4320545161161123
2021-03-16,0097.KL,0.013793092847977029,,ViTrox,No,Yes,0.4320545161161123
2021-03-17,0097.KL,0.012413830342759224,,ViTrox,No,Yes,0.4320545161161123
2021-03-18,0097.KL,0.02758638617986864,,ViTrox,No,Yes,0.4320545161161123
2021-03-19,0097.KL,0.056551767553068455,,ViTrox,No,Yes,0.4320545161161123
2021-03-22,0097.KL,0.03310350302871057,,ViTrox,No,Yes,0.4320545161161123
2021-03-23,0097.KL,0.01931041018073354,,ViTrox,No,Yes,0.4320545161161123
2021-03-24,0097.KL,0.020689739513922722,,ViTrox,No,Yes,0.4320545161161123
2021-03-25,0097.KL,-0.0013791956772459812,,ViTrox,No,Yes,0.4320545161161123
2021-03-26,0097.KL,0.0,,ViTrox,No,Yes,0.4320545161161123
2021-03-29,0097.KL,0.017931214503487558,,ViTrox,No,Yes,0.4320545161161123
2021-03-30,0097.KL,0.020689739513922722,,ViTrox,No,Yes,0.4320545161161123
2021-03-31,0097.KL,0.0303448443623322,,ViTrox,No,Yes,0.4320545161161123
2021-04-01,0097.KL,0.08137942823858713,,ViTrox,No,Yes,0.4320545161161123
2021-04-02,0097.KL,0.12413790245976397,,ViTrox,No,Yes,0.4320545161161123
2021-04-05,0097.KL,0.12413790245976397,,ViTrox,No,Yes,0.4320545161161123
2021-04-06,0097.KL,0.08275869074380471,,ViTrox,No,Yes,0.4320545161161123
2021-04-07,0097.KL,0.1062070220961342,,ViTrox,No,Yes,0.4320545161161123
2021-04-08,0097.KL,0.09655171676381014,,ViTrox,No,Yes,0.4320545161161123
2021-04-09,0097.KL,0.10206903409656665,,ViTrox,No,Yes,0.4320545161161123
2021-04-12,0097.KL,0.12413790245976397,,ViTrox,No,Yes,0.4320545161161123
2021-04-13,0097.KL,0.08275869074380471,,ViTrox,No,Yes,0.4320545161161123
2021-04-14,0097.KL,0.09655171676381014,,ViTrox,No,Yes,0.4320545161161123
2021-04-15,0097.KL,0.0896553374097504,,ViTrox,No,Yes,0.4320545161161123
2021-04-16,0097.KL,0.0910345330869966,,ViTrox,No,Yes,0.4320545161161123
2021-04-19,0097.KL,0.0896553374097504,,ViTrox,No,Yes,0.4320545161161123
2021-04-20,0097.KL,0.09517245425859233,,ViTrox,No,Yes,0.4320545161161123
2021-04-21,0097.KL,0.0896553374097504,,ViTrox,No,Yes,0.4320545161161123
2021-04-22,0097.KL,0.10896561393454096,,ViTrox,No,Yes,0.4320545161161123
